author_a,author_b,shared_papers
Amit Seru,Sumit Agarwal,1
Amit Seru,Greg Buchak,1
Gregor Matvos,Tomasz Piskorski,1
Gregor Matvos,Greg Buchak,1
Julien Cujean,Mungo Ivor Wilson,1
Daniel Andrei,Mungo Ivor Wilson,1
Daniel Andrei,Julien Cujean,1
J. Allan Best,Daniel Quigley,1
Saki Bigio,Liyan Shi,1
Christian Bayer,Benjamin Born,1
Christian Bayer,Rüdiger Bachmann,1
Boyan Jovanovic,Viktor Tsyrennikov,1
Christian Bayer,Heiko Stueber,1
Felipe Saffie,Sergio Urzúa,1
Felipe Benguria,Sergio Urzúa,1
Felipe Benguria,Felipe Saffie,1
Joel Mokyr,Cormac Ó Gráda,1
Morgan Kelly,Cormac Ó Gráda,1
Morgan Kelly,Joel Mokyr,1
Daniel Hoang,Maritta Paloviita,1
Francesco D’Acunto,Maritta Paloviita,1
Francesco D’Acunto,Daniel Hoang,1
Winston Wei Dou,Zhipeng Liao,1
Xu Cheng,Zhipeng Liao,1
Xu Cheng,Winston Wei Dou,1
Benjamin Born,Johannes Pfeifer,1
Benjamin Born,Gernot J. Müller,1
Benjamin Born,Francesco D’Ascanio,1
Benjamin Born,Ralph Luetticke,1
Christian Bayer,Felix Wellschmied,1
Michael Droste,Danny Onorato,1
Michael Droste,Lynn Overmann,1
Michael Droste,Max Pienkny,1
Xuan Li,Heather Sarsons,1
Benjamin Moll,Matthieu Gomez,1
Benjamin Moll,Andreas Fagereng,1
Benjamin Moll,David Laibson,1
Benjamin Moll,Peter Maxted,1
Benjamin Moll,Pascual Restrepo,1
Benjamin Moll,Łukasz Rachel,1
Matthew Rognlie,Rodolfo Rigato,1
Adrien Auclert,Rodolfo Rigato,1
Sonya Krutikova,Marta Rubio‐Codina,1
Simon Mongey,Giovanni L. Violante,1
Lina Cardona‐Sosa,Marta Rubio‐Codina,1
Lina Cardona‐Sosa,Sonya Krutikova,1
Raquel Bernal,Marta Rubio‐Codina,1
Raquel Bernal,Sonya Krutikova,1
Raquel Bernal,Lina Cardona‐Sosa,1
Alison Andrew,Abi Adams‐Prassl,1
Alison Andrew,Marta Rubio‐Codina,1
Alison Andrew,Sonya Krutikova,1
Benjamin Moll,Émilien Gouin-Bonenfant,1
Benjamin Moll,Martin Blomhoff Holm,1
Benjamin Moll,Gisle James Natvik,1
Łukasz Rachel,Pascual Restrepo,1
Niklas Engbom,Giovanni L. Violante,1
Niklas Engbom,Simon Mongey,1
Adrien Bilal,Giovanni L. Violante,1
Adrien Bilal,Simon Mongey,1
Adrien Bilal,Niklas Engbom,1
Evan Flack,Ziad Obermeyer,1
Amitabh Chandra,Ziad Obermeyer,1
Amitabh Chandra,Evan Flack,1
Roine Vestman,Ulf von Lilienfeld‐Toal,1
Stijn Van Nieuwerburgh,Zefeng Chen,1
Stijn Van Nieuwerburgh,Boaz Abramson,1
Stijn Van Nieuwerburgh,Ulf von Lilienfeld‐Toal,1
Stijn Van Nieuwerburgh,Roine Vestman,1
Paolo Sodini,Ulf von Lilienfeld‐Toal,1
Paolo Sodini,Roine Vestman,1
Paolo Sodini,Stijn Van Nieuwerburgh,1
Pascual Restrepo,Daron Acemoğlu,1
Alison Andrew,Lina Cardona‐Sosa,1
Alison Andrew,Raquel Bernal,1
Patrick François,Kairong Xiao,1
Nitya Pandalai-Nayar,Zhen Huo,1
Christoph Boehm,Nitya Pandalai-Nayar,1
Christoph Boehm,Andrei A. Levchenko,1
Kevin Williams,Timothy Schwieg,1
Kevin Williams,Hayden Parsley,1
Kevin Williams,Olivia Natan,1
Kevin Williams,Alı Hortaçsu,1
Aniko Öry,Kevin Williams,1
Joyee Deb,Kevin Williams,1
Joyee Deb,Aniko Öry,1
Semih Üslü,Pierre-Olivier Weill,1
Jérôme Dugast,Pierre-Olivier Weill,1
Jérôme Dugast,Semih Üslü,1
Keyu Jin,Dan Lu,1
Sandip Sukhtankar,Monica Singhal,1
Sandip Sukhtankar,Samuel Norris,1
Sandip Sukhtankar,Lucie Gadenne,1
Karthik Muralidharan,Christopher R. Walters,1
Andrei A. Levchenko,Zhen Huo,1
Bruce Meyer,James X. Sullivan,1
Stefanie Stantcheva,Ana Sánchez Chico,1
Timothy G. Conley,Nirav Mehta,1
Stefanie Stantcheva,Bluebery Planterose,1
Stefanie Stantcheva,Tobias Kruse,1
Stefanie Stantcheva,Adrien Fabre,1
Stefanie Stantcheva,Antoine Dechezleprêtre,1
Stefanie Stantcheva,Douglas Hanley,1
Armando Miano,Stefanie Stantcheva,1
Alberto Alesina,Eliana La Ferrara,1
Alberto Alesina,Michela Carlana,1
Alberto Alesina,Stefanie Stantcheva,1
Alberto Alesina,Armando Miano,1
Ralph Stinebrickner,Todd Stinebrickner,1
Nirav Mehta,Seth Richards‐Shubik,1
Nirav Mehta,Martin Gaynor,1
Nirav Mehta,Todd Stinebrickner,1
Nirav Mehta,Ralph Stinebrickner,1
Timothy G. Conley,Todd Stinebrickner,1
Timothy G. Conley,Ralph Stinebrickner,1
Niklas Engbom,Christian Moser,1
Simon Mongey,David Berger,1
Gabriele Gratton,Barton E. Lee,1
Stefanie DeLuca,Lawrence F. Katz,1
Eric Budish,Robin S. Lee,1
Damián Vergara,Danny Yagan,1
Patrick Kline,Christopher R. Walters,1
Patrick Kline,Christopher R. Walters,1
Patrick Kline,Danny Yagan,1
Patrick Kline,Damián Vergara,1
Lawrence F. Katz,Christopher Palmer,1
Stefanie DeLuca,Christopher Palmer,1
Peter Bergman,Lindsey Raymond,1
David Baqaee,Kunal Sangani,1
Peter Bergman,Danielle Li,1
Peter Bergman,Christopher Palmer,1
Peter Bergman,Lawrence F. Katz,1
Peter Bergman,Stefanie DeLuca,1
Casper Worm Hansen,Hui Ren Tan,1
James Feigenbaum,Benjamin Schneer,1
James Feigenbaum,Maxwell Palmer,1
James Feigenbaum,Daniel P. Gross,1
Eric Budish,John J. Shim,1
Robin S. Lee,John J. Shim,1
R. Jason Faberman,Ayşegül Şahin,1
R. Jason Faberman,Giorgio Topa,1
Clément Malgouyres,Antonin Bergeaud,1
Clément Malgouyres,Antoine Bozio,1
Clément Malgouyres,Laurent Bach,1
Clément Malgouyres,Clément Mazet-Sonilhac,1
Gérard J. van den Berg,Johan Vikström,1
Pierre Boyer,Emanuel Hansen,1
Felix Bierbrauer,Emanuel Hansen,1
Felix Bierbrauer,Pierre Boyer,1
Lars Lefgren,Emily Leslie,1
Brigham Frandsen,Emily Leslie,1
Brigham Frandsen,Lars Lefgren,1
Neng Wang,Jinqiang Yang,1
Harrison Hong,Jinqiang Yang,1
Harrison Hong,Neng Wang,1
Ayşegül Şahin,Benjamin Pugsley,1
Ayşegül Şahin,Fatih Karahan,1
Ayşegül Şahin,Giorgio Topa,1
James Feigenbaum,Hui Ren Tan,1
James Feigenbaum,Casper Worm Hansen,1
Philipp Ager,Hui Ren Tan,1
Pol Antràs,Esteban Rossi‐Hansberg,1
Veronica Guerrieri,Mark Ponder,1
Veronica Guerrieri,Alessandra Fogli,1
Liguo Lin,Eric Zou,1
Shanjun Li,Shengmao Cao,1
Shanjun Li,Tianli Xia,1
Shanjun Li,Jing Wu,1
Shanjun Li,Andrew Waxman,1
Shanjun Li,Eric Zou,1
Shanjun Li,Liguo Lin,1
Seema Jayachandran,Pauline Rossi,1
Seema Jayachandran,Adriana Lleras‐Muney,1
Tarun Jain,Seema Jayachandran,1
Diva Dhar,Seema Jayachandran,1
Diva Dhar,Tarun Jain,1
Emmanuel Farhi,Jean Tirole,1
Emmanuel Farhi,Kunal Sangani,1
David Baqaee,Yasutaka Koike-Mori,1
Veronica Guerrieri,Marta Prato,1
Esteban Rossi‐Hansberg,J.L. Cruz,1
Philipp Ager,Casper Worm Hansen,1
Esteban Rossi‐Hansberg,Ezra Oberfield,1
Philipp Ager,James Feigenbaum,1
Robert Richmond,Motohiro Yogo,1
Manudeep Bhuller,Henrik Sigstad,1
Manudeep Bhuller,Fabian Lange,1
Gaurab Aryal,Fabian Lange,1
Gaurab Aryal,Manudeep Bhuller,1
Prottoy Akbar,Adam Storeygard,1
Ryota Iijima,Yves Le Yaouanq,1
Ryota Iijima,Madhav Chandrasekher,1
Mira Frick,Yves Le Yaouanq,1
Mira Frick,Madhav Chandrasekher,1
Simone Galperti,Jacopo Perego,1
Simone Galperti,Aleksandr Levkun,1
Danil Dmitriev,Simone Galperti,1
T. Renee Bowen,Simone Galperti,1
T. Renee Bowen,Danil Dmitriev,1
Esteban Rossi‐Hansberg,Nicholas Trachter,1
Karthik Muralidharan,Alejandro Ganimian,1
Karthik Muralidharan,Sandip Sukhtankar,1
Martin Lettau,Sydney C. Ludvigson,1
Jonathan M. Davis,Laurence Steinberg,1
George Farkas,Roland G. Fryer,1
Kenneth A. Dodge,G. D. Stoddard,1
Kenneth A. Dodge,Laurence Steinberg,1
Kenneth A. Dodge,Harold A. Pollack,1
Kenneth A. Dodge,Susan Mayer,1
Kenneth A. Dodge,Roland G. Fryer,1
Kenneth A. Dodge,George Farkas,1
Jonathan M. Davis,G. D. Stoddard,1
Jonathan M. Davis,Harold A. Pollack,1
Daniel Greenwald,Adam Guren,1
Jonathan M. Davis,Susan Mayer,1
Jonathan M. Davis,Roland G. Fryer,1
Jonathan M. Davis,George Farkas,1
Jonathan M. Davis,Kenneth A. Dodge,1
Philip J. Cook,G. D. Stoddard,1
Philip J. Cook,Laurence Steinberg,1
Philip J. Cook,Harold A. Pollack,1
Philip J. Cook,Susan Mayer,1
George Farkas,Susan Mayer,1
George Farkas,Harold A. Pollack,1
George Farkas,Laurence Steinberg,1
George Farkas,G. D. Stoddard,1
Reed Walker,Maya Rossin‐Slater,1
Reed Walker,Hilary Hoynes,1
Reed Walker,Martha Bailey,1
John Voorheis,Reed Walker,1
Janet Currie,Emily Cuddy,1
Janet Currie,Reed Walker,1
Janet Currie,John Voorheis,1
Laurence Steinberg,G. D. Stoddard,1
Harold A. Pollack,G. D. Stoddard,1
Harold A. Pollack,Laurence Steinberg,1
Susan Mayer,G. D. Stoddard,1
Susan Mayer,Laurence Steinberg,1
Susan Mayer,Harold A. Pollack,1
Roland G. Fryer,G. D. Stoddard,1
Roland G. Fryer,Laurence Steinberg,1
Roland G. Fryer,Harold A. Pollack,1
Roland G. Fryer,Susan Mayer,1
Philip J. Cook,Roland G. Fryer,1
Philip J. Cook,George Farkas,1
Philip J. Cook,Kenneth A. Dodge,1
Jens Ludwig,Kenneth A. Dodge,1
Jens Ludwig,Philip J. Cook,1
Jens Ludwig,Monica Bhatt,1
Jonathan Guryan,G. D. Stoddard,1
Jonathan Guryan,Laurence Steinberg,1
Jonathan Guryan,Harold A. Pollack,1
Jonathan Guryan,Susan Mayer,1
Jonathan Guryan,Roland G. Fryer,1
Jonathan Guryan,George Farkas,1
Jonathan Guryan,Kenneth A. Dodge,1
Jonathan Guryan,Jonathan M. Davis,1
Jonathan Guryan,Philip J. Cook,1
Jonathan Guryan,Monica Bhatt,1
Jonathan Guryan,Jens Ludwig,1
Benjamin Hébert,Jennifer La’O,1
Eduardo Dávila,Andreas Schaab,1
Eduardo Dávila,Ansgar Walther,1
Eduardo Dávila,Itay Goldstein,1
Jens Ludwig,Jonathan M. Davis,1
Jens Ludwig,George Farkas,1
Philip J. Cook,Jonathan M. Davis,1
Jens Ludwig,Roland G. Fryer,1
Monica Bhatt,Christopher Blattman,1
Monica Bhatt,Marianne Bertrand,1
Monica Bhatt,Max Kapustin,1
Monica Bhatt,Sara Heller,1
Monica Bhatt,G. D. Stoddard,1
Monica Bhatt,Laurence Steinberg,1
Monica Bhatt,Harold A. Pollack,1
Monica Bhatt,Susan Mayer,1
Monica Bhatt,Roland G. Fryer,1
Monica Bhatt,George Farkas,1
Monica Bhatt,Kenneth A. Dodge,1
Monica Bhatt,Jonathan M. Davis,1
Monica Bhatt,Philip J. Cook,1
Jens Ludwig,G. D. Stoddard,1
Jens Ludwig,Laurence Steinberg,1
Jens Ludwig,Harold A. Pollack,1
Jens Ludwig,Susan Mayer,1
Reed Walker,Joseph Shapiro,1
Jason Allen,Milena Wittwer,1
Jason Allen,Brent Hickman,1
David Arnold,Peter Hull,1
Réka Juhász,Mara P. Squicciarini,1
Matthias Kehrig,Nicolas Vincent,1
Boris Vabson,Adelina Yanyue Wang,1
Timothy Layton,Adelina Yanyue Wang,1
Timothy Layton,Boris Vabson,1
Zarek Brot-Goldberg,Adelina Yanyue Wang,1
Zarek Brot-Goldberg,Boris Vabson,1
Zarek Brot-Goldberg,Timothy Layton,1
Joshua Murphy,Eduardo Souza-Rodrigues,1
R. S. McMillan,Eduardo Souza-Rodrigues,1
R. S. McMillan,Joshua Murphy,1
Juliano Assunção,Eduardo Souza-Rodrigues,1
Juliano Assunção,Joshua Murphy,1
Juliano Assunção,R. S. McMillan,1
Guido Lorenzoni,Veronica Guerrieri,1
Robert D. Inman,Nicholas Zarra,1
Thorsten Drautzburg,Nicholas Zarra,1
David Arnold,Will Dobbie,1
Will Dobbie,Peter Hull,1
Gerald A. Carlino,Nicholas Zarra,1
Will Dobbie,Zoë Cullen,1
Daniel Greenwald,Sydney C. Ludvigson,1
Daniel Greenwald,Martin Lettau,1
Francesco Trebbi,Kairong Xiao,1
Francesco Trebbi,Patrick François,1
Bingjing Li,Xiaodong Zhu,1
Bingjing Li,Qinghua Shi,1
Bingjing Li,Naijia Guo,1
Bingjing Li,Qingen Gai,1
Bingjing Li,Francesco Trebbi,1
Matilde Bombardini,Francesco Trebbi,1
Matilde Bombardini,Bingjing Li,1
Peter Hull,Michal Kolesár,1
Peter Hull,Paul Goldsmith-Pinkham,1
Peter Hull,Kirill Borusyak,1
Will Dobbie,Crystal Yang,1
Will Dobbie,Victoria Angelova,1
Will Dobbie,Mitchell Hoffman,1
Thorsten Drautzburg,Robert D. Inman,1
Gerald A. Carlino,Robert D. Inman,1
Jason Allen,Eric Richert,1
Lawrence H. Summers,Ella Getz Wold,1
Ragnar Juelsrud,Lawrence H. Summers,1
Gauti B. Eggertsson,Bulat Gafarov,1
Gauti B. Eggertsson,Saroj Bhattarai,1
Gauti B. Eggertsson,Ella Getz Wold,1
Gauti B. Eggertsson,Lawrence H. Summers,1
Gauti B. Eggertsson,Ragnar Juelsrud,1
Anant Nyshadham,Namrata Kala,1
Anant Nyshadham,Jorge Tamayo,1
Achyuta Adhvaryu,Namrata Kala,1
Achyuta Adhvaryu,Jorge Tamayo,1
Ralph S. J. Koijen,Motohiro Yogo,1
Ralph S. J. Koijen,Robert Richmond,1
Xavier Gabaix,Ralph S. J. Koijen,1
Aljoscha Janssen,Xuan Zhang,1
Ragan Petrie,Anya Samek,1
Marco Castillo,Anya Samek,1
Marco Castillo,Ragan Petrie,1
Ragnar Juelsrud,Ella Getz Wold,1
Benjamin Bernard,Agostino Capponi,1
Gerald A. Carlino,Thorsten Drautzburg,1
Benjamin Bernard,Joseph E. Stiglitz,1
Andrés Rodrı́guez-Clare,Jose P. Vasquez,1
Andrés Rodrı́guez-Clare,Mauricio Ulate,1
Dave Donaldson,Dina Pomeranz,1
Dave Donaldson,Paul E. Carrillo,1
Dave Donaldson,Andrés Rodrı́guez-Clare,1
Dominick Bartelme,Andrés Rodrı́guez-Clare,1
Dominick Bartelme,Dave Donaldson,1
Sérgio Rebelo,Mathias Trabandt,1
Sérgio Rebelo,Francisco Lima,1
Sérgio Rebelo,Miguel Godinho de Matos,1
Sérgio Rebelo,Martin Eichenbaum,1
Sérgio Rebelo,Per Krusell,1
Sérgio Rebelo,Gideon Bornstein,1
Sérgio Rebelo,Arlene Wong,1
Eric T. Anderson,Arlene Wong,1
Eric T. Anderson,Sérgio Rebelo,1
Agostino Capponi,Joseph E. Stiglitz,1
Clément Malgouyres,Emeric Henry,1
David Cutler,Kaushik Ghosh,1
David Cutler,Kassandra L. Messer,1
David S. Lee,Jack Porter,1
Kirill Borusyak,Xavier Jaravel,1
Takuo Sugaya,Juan Ortner,1
Dana Foarta,Takuo Sugaya,1
Steven Callander,Takuo Sugaya,1
Steven Callander,Dana Foarta,1
Marcelo J. Moreira,Jack Porter,1
Justin McCrary,Jack Porter,1
Justin McCrary,Marcelo J. Moreira,1
David S. Lee,Marcelo J. Moreira,1
Nina Buchmann,Xiaoyu Wang,1
David S. Lee,Justin McCrary,1
Jennifer La’O,Alireza Tahbaz-Salehi,1
Jonathan Weigel,Gabriel Tourek,1
Jonathan Weigel,Augustin Bergeron,1
Jonathan Weigel,Pablo Balán,1
Gabriel Tourek,Jonathan Weigel,1
Augustin Bergeron,Jonathan Weigel,1
Augustin Bergeron,Gabriel Tourek,1
Kirill Borusyak,Jann Spiess,1
Xavier Jaravel,Jann Spiess,1
Xavier Jaravel,J. Boehm,1
Xavier Jaravel,Etienne Fize,1
Minsu Chang,Frank Schorfheide,1
Minsu Chang,Xiaohong Chen,1
Facundo Piguillem,Alessandro Riboni,1
Randall Wright,Wei Cui,1
Bruno Sultanum,Randall Wright,1
Daniela Puzzello,Randall Wright,1
Daniela Puzzello,Bruno Sultanum,1
Peter Norman,Randall Wright,1
Peter Norman,Bruno Sultanum,1
Peter Norman,Daniela Puzzello,1
Laurence J. Kotlikoff,Darryl Koehler,1
Alan J. Auerbach,Daniel M. Murphy,1
Alan J. Auerbach,Darryl Koehler,1
Alan J. Auerbach,Laurence J. Kotlikoff,1
Stephan Lauermann,Asher Wolinsky,1
Stephan Lauermann,Andre Speit,1
Carl Heese,Stephan Lauermann,1
Ernest Liu,Aleh Tsyvinski,1
Ernest Liu,Li Bo,1
Ernest Liu,Emanuele Colonnelli,1
Ariel Burstein,Yasutaka Koike-Mori,1
Pablo Ottonello,Ignacio Presno,1
Pablo Ottonello,Rafael Guntin,1
Juan Morelli,Matías Moretti,1
Juan Morelli,Diego Pérez,1
Juan Morelli,Pablo Ottonello,1
Shahana Nazneen,Xiaoyu Wang,1
Rachel Glennerster,Xiaoyu Wang,1
Rachel Glennerster,Shahana Nazneen,1
Erica Field,Kate Vyborny,1
Erica Field,Kendal Swanson,1
Erica Field,Chaza Abou Daher,1
Erica Field,Rohini Pande,1
Erica Field,Arielle Bernhardt,1
Erica Field,Patrick Agte,1
Erica Field,Xiaoyu Wang,1
Erica Field,Shahana Nazneen,1
Erica Field,Rachel Glennerster,1
Diego Pérez,Rafael Guntin,1
Ariel Burstein,Raphael Auer,1
Benny Kleinman,Ernest Liu,1
Ariel Burstein,Sarah M. Lein,1
Dan Silverman,Arna Olafsson,1
Dan Silverman,Leandro Carvalho,1
Matthew D. Shapiro,Dan Silverman,1
Shachar Kariv,Dan Silverman,1
Shachar Kariv,Matthew D. Shapiro,1
Michael Gelman,Dan Silverman,1
Michael Gelman,Matthew D. Shapiro,1
Michael Gelman,Shachar Kariv,1
Jian Li,Anna Pavlova,1
Natalia Kovrijnykh,Anna Pavlova,1
Natalia Kovrijnykh,Jian Li,1
Anil Kashyap,Alexandros Vardoulakis,1
Anil Kashyap,Dimitrios P. Tsomocos,1
Anil Kashyap,Anna Pavlova,1
Anil Kashyap,Jian Li,1
Anil Kashyap,Natalia Kovrijnykh,1
Ariel Burstein,Jonathan Vogel,1
Xiaohong Chen,Frank Schorfheide,1
Zoë Cullen,Bobak Pakzad-Hurson,1
Zoë Cullen,Shengwu Li,1
Petter Lundborg,Erik Plug,1
Ryan Tierney,Yu Zhou,1
William Phan,Yu Zhou,1
William Phan,Ryan Tierney,1
Jan Eeckhout,Alireza Sepahsalari,1
Paula Calvo,Ana Reynoso,1
Mark Dean,John Leahy,1
Andrew Caplin,Johan Sæverud,1
Andrew Caplin,Søren Leth‐Petersen,1
Andrew Caplin,Eungik Lee,1
Andrew Caplin,Victoria Gregory,1
Andrew Caplin,John Leahy,1
Andrew Caplin,Mark Dean,1
Sina Khorasani,Luis Rayo,1
George Georgiadis,Balázs Szentes,1
George Georgiadis,Ravid Doron,1
George Georgiadis,Sina Khorasani,1
Jeffrey C. Ely,Sina Khorasani,1
Joachim Freyberger,Bradley Larsen,1
Petter Lundborg,Astrid Würtz Rasmussen,1
Ig Horstmann,Jean‐François Houde,1
Erik Plug,Astrid Würtz Rasmussen,1
Martin Nybom,Jan Stuhler,1
Vincent Pons,Randy Kotti,1
Vincent Pons,Rafael Di Tella,1
Vincent Pons,Vincent Rollet,1
Vincent Pons,Benjamin Marx,1
Vincent Pons,Enrico Cantoni,1
Caroline Le Pennec,Randy Kotti,1
Caroline Le Pennec,Rafael Di Tella,1
Marc Fleurbaey,Grégory Ponthière,1
Girum Abebe,Carolina Mejía-Mantilla,1
Simon Franklin,Carolina Mejía-Mantilla,1
Simon Franklin,Girum Abebe,1
Leslie M. Marx,Xiaosong Wu,1
Leslie M. Marx,Matthew S. Lewis,1
Leslie M. Marx,Nicolas de Roos,1
Leslie M. Marx,David Byrne,1
Simon Loertscher,Leslie M. Marx,1
Jean‐François Houde,Peter Newberry,1
Michael D. Bauer,Adi Sunderam,1
Bobak Pakzad-Hurson,Teddy Mekonnen,1
Olivier Bochet,Simon Siegenthaler,1
Ilyana Kuziemko,Gavin Wright,1
Ilyana Kuziemko,Ebonya Washington,1
Ilyana Kuziemko,Jiwon Choi,1
Elisa Jácome,Ilyana Kuziemko,1
Yueran Ma,Kaspar Zimmermann,1
Yueran Ma,David Thesmar,1
Yueran Ma,Augustin Landier,1
Yueran Ma,Hassan Afrouzi,1
Amir Kermani,Yueran Ma,1
Hamish Low,Luigi Pistaferri,1
Zhen Huo,Guangyu Pei,1
Zhen Huo,Marcelo Pedroni,1
Zhen Huo,José-V́ıctor Ŕıos-Rull,1
Zhen Huo,Marco Bassetto,1
Zhen Huo,Naoki Takayama,1
Gideon Bornstein,Per Krusell,1
Bobak Pakzad-Hurson,Zeky Murra-Anton,1
Olivier Bochet,Manshu Khanna,1
Manshu Khanna,Simon Siegenthaler,1
Michael D. Bauer,Carolin Pflueger,1
Haoge Chang,Joel A. Middleton,1
Michael D. Bauer,Eric T. Swanson,1
Joseph B. Steinberg,Shahar Rotberg,1
Kim J. Ruhl,Dylan G. Rassier,1
Kim J. Ruhl,Raymond J. Mataloni,1
Kim J. Ruhl,Fatih Guvenen,1
Árpád Ábrahám,Yan Liu,1
Armen Khederlarian,Joseph B. Steinberg,1
Armen Khederlarian,Kim J. Ruhl,1
Shafaat Yar Khan,Joseph B. Steinberg,1
Shafaat Yar Khan,Kim J. Ruhl,1
Shafaat Yar Khan,Armen Khederlarian,1
George Alessandria,Joseph B. Steinberg,1
George Alessandria,Kim J. Ruhl,1
George Alessandria,Armen Khederlarian,1
George Alessandria,Shafaat Yar Khan,1
Joel A. Middleton,Peter M. Aronow,1
Haoge Chang,Peter M. Aronow,1
Nina Buchmann,Roberta Ziparo,1
Nina Buchmann,Shahana Nazneen,1
David Cutler,Trivellore E. Raghunathan,1
Jonathan Elliott,Paul T. Scott,1
Samuel Norris,Matthew Pecenco,1
Samuel Norris,Carl McPherson,1
Samuel Norris,Dmitri Koustas,1
Samuel Norris,Andrew Garin,1
Samuel Norris,Monica Singhal,1
Samuel Norris,Lucie Gadenne,1
Vishal Kamat,Samuel Norris,1
Marc Ivaldi,Paul T. Scott,1
Jonathan Elliott,Marc Ivaldi,1
Nina Buchmann,Rachel Glennerster,1
Christopher R. Walters,Alejandro Ganimian,1
Christopher R. Walters,Evan K. Rose,1
Guthrie Gray-Lobe,Christopher R. Walters,1
Mary Amiti,Sebastian Heise,1
Gernot J. Müller,Raphael Schoenle,1
Gernot J. Müller,Ernesto Pastén,1
Gernot J. Müller,Lydia Cox,1
Gernot J. Müller,Johannes Pfeifer,1
Samuel Norris,Evan K. Rose,1
Samuel Norris,Yotam Shem-Tov,1
Samuel Norris,Jeffrey Weaver,1
Cosmin Ilut,Rosen Valchev,1
Christian Proebsting,Linda L. Tesar,1
Christopher House,Linda L. Tesar,1
Christopher House,Christian Proebsting,1
María Micaela Sviatschi,Nishith Prakash,1
María Micaela Sviatschi,Anjani Kumar,1
María Micaela Sviatschi,Nathan Fiala,1
María Micaela Sviatschi,Girija Borker,1
María Micaela Sviatschi,Sofia Amaral,1
María Micaela Sviatschi,Carlos Schmidt-Padilla,1
María Micaela Sviatschi,Eduardo Montero,1
María Micaela Sviatschi,Zach Y. Brown,1
Yinghua He,Victor Hiller,1
Yinghua He,Dorothea Kübler,1
Yinghua He,Julien Grenet,1
Yinghua He,Xiaoting Sun,1
Cosmin Ilut,Hikaru Saijo,1
Cosmin Ilut,Francesco Bianchi,1
Francesco D’Ascanio,Johannes Pfeifer,1
Francesco D’Ascanio,Gernot J. Müller,1
Christian Ewerhart,Julia Lareida,1
Enrique Seira,Diego Jiménez-Hernández,1
Enrique Seira,Jonathan Gruber,1
Enrique Seira,Ari Bronsoler,1
Enrique Seira,Christopher Woodruff,1
Joyce Sadka,Christopher Woodruff,1
Joyce Sadka,Enrique Seira,1
Allison B. Rosen,Susan T. Stewart,1
Trivellore E. Raghunathan,Susan T. Stewart,1
Trivellore E. Raghunathan,Allison B. Rosen,1
Kassandra L. Messer,Susan T. Stewart,1
Kassandra L. Messer,Allison B. Rosen,1
Kassandra L. Messer,Trivellore E. Raghunathan,1
Kaushik Ghosh,Susan T. Stewart,1
Kaushik Ghosh,Allison B. Rosen,1
Kaushik Ghosh,Trivellore E. Raghunathan,1
Kaushik Ghosh,Kassandra L. Messer,1
David Cutler,Susan T. Stewart,1
David Cutler,Allison B. Rosen,1
Enrique Seira,Sara G. Castellanos,1
Enrique Seira,Aprajit Mahajan,1
Ana Cecília Fieler,Jonathan Eaton,1
Enrique Seira,Eduardo Alcaraz Prous,1
Ana Cecília Fieler,Kelly Kaili Yang,1
Banu Demir,Kelly Kaili Yang,1
Banu Demir,Ana Cecília Fieler,1
Mark Bils,Corina Boar,1
Mark Aguiar,Manuel Amador,1
Mark Aguiar,Zachary Stangebye,1
Mark Aguiar,Harold L. Cole,1
Mark Aguiar,Satyajit Chatterjee,1
Mark Aguiar,Corina Boar,1
Mark Aguiar,Mark Bils,1
Jón Steinsson,Masao Fukui,1
Emi Nakamura,Masao Fukui,1
Paul Bouscasse,Jón Steinsson,1
Paul Bouscasse,Emi Nakamura,1
Ludvig Wier,Gabriel Zucman,1
Thomas Tørsløv,Gabriel Zucman,1
Thomas Tørsløv,Ludvig Wier,1
Milena Djourelova,Ruben Durante,1
Milena Djourelova,Gregory Martin,1
Ruben Durante,Gregory Martin,1
Christian K. Wolf,George‐Marios Angeletos,1
Mikkel Plagborg‐Møller,Matthew Cocci,1
Mikkel Plagborg‐Møller,Christian K. Wolf,1
Nicola Bianchi,Michael Powell,1
Nicola Bianchi,Matteo Paradisi,1
Nicola Bianchi,Jin Li,1
Nicola Bianchi,Giulia Bovini,1
Nicola Bianchi,Michela Giorcelli,1
Benjamin Olken,Sudarno Sumarto,1
Benjamin Olken,Elan Satriawan,1
Benjamin Olken,Rema Hanna,1
Benjamin Olken,Abhijit Banerjee,1
Robin Burgess,Benjamin Olken,1
Clare Balboni,Benjamin Olken,1
Clare Balboni,Robin Burgess,1
Mindy Z. Xiaolan,Zefeng Chen,1
Hanno Lustig,Zefeng Chen,1
Hanno Lustig,Arvind Krishnamurthy,1
Christian K. Wolf,Alisdair McKay,1
Yona Rubinstein,Kazuatsu Shimizu,1
Zhengyang Jiang,Hongjun Yan,1
Morris A. Davis,Andra C. Ghent,1
Nina Buchmann,Erica Field,1
David Schoenherr,Janis Skrastins,1
Armando Gomes,Janis Skrastins,1
Armando Gomes,David Schoenherr,1
Bernardus Van Doornik,Janis Skrastins,1
Bernardus Van Doornik,David Schoenherr,1
Bernardus Van Doornik,Armando Gomes,1
Piero Gottardi,Ronald Wolthoff,1
Piero Gottardi,Sarah Auster,1
Piero Gottardi,Humberto Moreira,1
Vitor Farinha Luz,Humberto Moreira,1
