author_a,author_b,shared_papers
Ahmed Tahoun,Marcela Carvalho,1
Ahmed Tahoun,Josh Lerner,1
Guilherme Carmona,Krittanai Laohakunakorn,1
Italo López García,Miguel Cordero,1
Italo López García,Paula Bedregal,1
Emanuela Galasso,Miguel Cordero,1
Emanuela Galasso,Paula Bedregal,1
Emanuela Galasso,Italo López García,1
Pedro Carneiro,Kjell G. Salvanes,1
Pedro Carneiro,Katrine Vellesen Løken,1
Pedro Carneiro,Miguel Cordero,1
Pedro Carneiro,Paula Bedregal,1
Pedro Carneiro,Italo López García,1
Pedro Carneiro,Emanuela Galasso,1
Ignatius J. Horstmann,David Rivers,1
Sebastián Claro,David Rivers,1
Sebastián Claro,Ignatius J. Horstmann,1
Bernardo S. Blum,David Rivers,1
Bernardo S. Blum,Ignatius J. Horstmann,1
Bernardo S. Blum,Sebastián Claro,1
Markus K. Brunnermeier,Emil Verner,1
Markus K. Brunnermeier,Sergio Correia,1
Christopher Blattman,Gustavo Duncan,1
Andrew Garin,Yotam Shem-Tov,1
Stefanie Haller,Yaniv Yedid‐Levi,1
Doireann Fitzgerald,Yaniv Yedid‐Levi,1
Doireann Fitzgerald,Stefanie Haller,1
Alex Hsu,Andrea Tamoni,1
Anthony M. Diercks,Andrea Tamoni,1
Anthony M. Diercks,Alex Hsu,1
Munseob Lee,Sara Moreira,1
Andrew Garin,Jeffrey Weaver,1
Andrew Garin,Matthew Pecenco,1
Markus K. Brunnermeier,Yuliy Sannikov,1
Andrew Garin,Carl McPherson,1
Andrew Garin,Dmitri Koustas,1
Andrew Garin,Jonathan Rothbaum,1
Andrew Garin,Filipe Silvério,1
Giacomo Lanzani,Drew Fudenberg,1
Pooya Molavi,Andrea Vedolin,1
Christopher Blattman,Santiago Tobón,1
Christopher Blattman,Benjamin Lessing,1
Dimitrios P. Tsomocos,Alexandros Vardoulakis,1
Ezra Oberfield,Nicholas Trachter,1
Saten Kumar,Bernardo Candia,1
Saten Kumar,Tiziano Ropele,1
Markus K. Brunnermeier,Sebastian Merkel,1
Markus K. Brunnermeier,Yann Koby,1
Joseph Abadi,Yann Koby,1
Joseph Abadi,Markus K. Brunnermeier,1
Navin Kartik,Alex Frankel,1
Navin Kartik,Tianhao Liu,1
Navin Kartik,Andreas Kleiner,1
S. Nageeb Ali,Andreas Kleiner,1
S. Nageeb Ali,Navin Kartik,1
Shoshana Vasserman,Zi Yang Kang,1
Valentin Bolotnyy,Shoshana Vasserman,1
Saten Kumar,Jorge Ponce,1
Saten Kumar,Geoff Kenny,1
Saten Kumar,Dimitris Georgarakos,1
Saten Kumar,Brent Meyer,1
Saten Kumar,Serafín Frache,1
Saten Kumar,Rodrigo Lluberas,1
Giuseppe Lopomo,Alessandro T. Villa,1
Christina Romer,David Romer,1
Adi Sunderam,Carolin Pflueger,1
Nicholas Bloom,Xiaoji Lin,1
Andreas Kotsadam,Ole Røgeberg,1
Anders Kjelsrud,Ole Røgeberg,1
Anders Kjelsrud,Andreas Kotsadam,1
Simeon Alder,Lee E. Ohanian,1
Nicholas Bloom,Ahmed Tahoun,1
Nicholas Bloom,Josh Lerner,1
Nicholas Bloom,Marcela Carvalho,1
Nicholas Bloom,Aakash Kalyani,1
Nicholas Bloom,Iván Alfaro,1
Salomé Baslandze,Francesca Lotti,1
Scott Baker,Nicholas Bloom,1
Joseph Shapiro,Arthur van Benthem,1
James Sallee,Arthur van Benthem,1
James Sallee,Joseph Shapiro,1
Mark R. Jacobsen,Arthur van Benthem,1
Mark R. Jacobsen,Joseph Shapiro,1
Mark R. Jacobsen,James Sallee,1
Silvia Saccardo,Marta Serra-García,1
Nicolas Crouzet,Apoorv Gupta,1
Nicolas Crouzet,Filippo Mezzanotti,1
Apoorv Gupta,Filippo Mezzanotti,1
